target,year,rank,neighbour,cosine_sim
ethics,2021,10,thinking,0.3138
ethics,2021,11,place,0.3137
ethics,2021,12,technology,0.3091
ethics,2022,1,integrating,0.5494
ethics,2022,2,virtual,0.5114
ethics,2022,3,creative,0.4681
ethics,2022,4,tool,0.4612
ethics,2022,5,particular,0.4563
ethics,2022,6,mapping,0.4421
ethics,2022,7,application,0.4392
ethics,2022,8,explores,0.4371
ethics,2022,9,thinking,0.4357
ethics,2022,10,designs,0.4312
ethics,2022,11,maps,0.4237
ethics,2022,12,conference,0.4183
ethics,2023,1,november,0.4445
ethics,2023,2,ethical,0.4005
ethics,2023,3,labor,0.3848
ethics,2023,4,reuse,0.3766
ethics,2023,5,meet,0.3479
ethics,2023,6,oil,0.3474
ethics,2023,7,equity,0.3446
ethics,2023,8,indigenous,0.3318
ethics,2023,9,partner,0.3167
ethics,2023,10,begin,0.3159
ethics,2023,11,vision,0.3111
ethics,2023,12,material,0.3099
ethics,2024,1,relevant,0.4665
ethics,2024,2,scenarios,0.4004
ethics,2024,3,october,0.3891
ethics,2024,4,migration,0.3841
ethics,2024,5,fellow,0.3796
ethics,2024,6,vision,0.3788
ethics,2024,7,frameworks,0.3716
ethics,2024,8,served,0.3677
ethics,2024,9,miami,0.3522
ethics,2024,10,online,0.3412
ethics,2024,11,general,0.3407
ethics,2024,12,visiting,0.3405
ethics,2025,1,management,0.4236
ethics,2025,2,important,0.3714
ethics,2025,3,societal,0.3652
ethics,2025,4,face,0.3639
ethics,2025,5,housing,0.3608
ethics,2025,6,served,0.3553
ethics,2025,7,individual,0.3447
ethics,2025,8,short,0.3406
ethics,2025,9,offer,0.3402
ethics,2025,10,build,0.34
ethics,2025,11,taught,0.334
ethics,2025,12,fellow,0.3327
ethics,2026,1,environmental,0.4149
ethics,2026,2,material,0.3837
ethics,2026,3,equity,0.3781
ethics,2026,4,indigenous,0.3742
ethics,2026,5,labor,0.3714
ethics,2026,6,community,0.3647
ethics,2026,7,social,0.3562
ethics,2026,8,ecologies,0.3531
ethics,2026,9,justice,0.3529
ethics,2026,10,designing,0.3453
ethics,2026,11,miami,0.3341
ethics,2026,12,october,0.3339
technology,2020,1,illinois,0.4196
technology,2020,2,environmental,0.3428
technology,2020,3,simulation,0.3289
technology,2020,4,science,0.3185
technology,2020,5,inform,0.3139
technology,2020,6,florida,0.313
technology,2020,7,visiting,0.3027
technology,2020,8,integrating,0.2958
technology,2020,9,taught,0.2943
technology,2020,10,equitable,0.2937
technology,2020,11,conference,0.2926
